like_id,user_id,post_id,post_author_id,created_at,period,same_cluster_as_author
l0000034,u0162,p000004,u0335,2026-01-29 15:39:21,before_policy,1
l0000035,u0349,p000004,u0335,2026-01-29 15:26:21,before_policy,1
l0000036,u0020,p000004,u0335,2026-01-29 19:33:21,before_policy,1
l0000037,u0338,p000004,u0335,2026-01-29 23:12:21,before_policy,0
l0000038,u0214,p000004,u0335,2026-01-29 16:04:21,before_policy,1
l0000039,u0002,p000004,u0335,2026-01-29 22:00:21,before_policy,0
l0000040,u0181,p000004,u0335,2026-01-29 17:19:21,before_policy,0
l0000041,u0250,p000004,u0335,2026-01-29 19:16:21,before_policy,0
l0000042,u0211,p000004,u0335,2026-01-29 22:05:21,before_policy,0
l0000043,u0172,p000004,u0335,2026-01-29 13:39:21,before_policy,1
l0000044,u0122,p000004,u0335,2026-01-29 21:53:21,before_policy,0
l0000045,u0263,p000004,u0335,2026-01-29 14:19:21,before_policy,1
l0000046,u0014,p000004,u0335,2026-01-29 15:36:21,before_policy,1
l0000047,u0294,p000005,u0359,2026-01-10 15:30:29,before_policy,1
l0000048,u0079,p000005,u0359,2026-01-10 22:59:29,before_policy,0
l0000049,u0273,p000005,u0359,2026-01-10 19:50:29,before_policy,0
l0000050,u0284,p000005,u0359,2026-01-10 21:49:29,before_policy,1
l0000051,u0197,p000005,u0359,2026-01-10 14:52:29,before_policy,1
l0000052,u0241,p000005,u0359,2026-01-10 21:15:29,before_policy,1
l0000053,u0106,p000005,u0359,2026-01-10 19:28:29,before_policy,0
l0000054,u0283,p000006,u0103,2026-03-20 18:27:15,after_policy,0
l0000055,u0241,p000006,u0103,2026-03-20 19:47:15,after_policy,1
l0000056,u0054,p000006,u0103,2026-03-21 01:11:15,after_policy,1
l0000057,u0086,p000006,u0103,2026-03-21 00:43:15,after_policy,1
l0000058,u0359,p000006,u0103,2026-03-20 22:41:15,after_policy,1
l0000059,u0259,p000006,u0103,2026-03-20 22:34:15,after_policy,1
l0000060,u0318,p000007,u0106,2026-03-13 18:17:42,after_policy,1
l0000061,u0177,p000007,u0106,2026-03-14 01:59:42,after_policy,1
l0000062,u0153,p000007,u0106,2026-03-14 03:09:42,after_policy,1
l0000063,u0144,p000007,u0106,2026-03-13 22:01:42,after_policy,1
l0000064,u0242,p000007,u0106,2026-03-13 23:32:42,after_policy,1
l0000065,u0115,p000007,u0106,2026-03-13 23:07:42,after_policy,1
l0000066,u0125,p000007,u0106,2026-03-14 04:02:42,after_policy,1
l0000067,u0286,p000007,u0106,2026-03-14 02:42:42,after_policy,1
l0000068,u0175,p000007,u0106,2026-03-13 17:16:42,after_policy,1
l0000069,u0238,p000007,u0106,2026-03-13 20:35:42,after_policy,1
l0000070,u0080,p000007,u0106,2026-03-13 21:30:42,after_policy,1
l0000071,u0333,p000007,u0106,2026-03-14 02:58:42,after_policy,1
l0000072,u0042,p000007,u0106,2026-03-13 17:12:42,after_policy,1
l0000073,u0043,p000007,u0106,2026-03-13 22:29:42,after_policy,1
l0000074,u0136,p000007,u0106,2026-03-13 19:44:42,after_policy,1
l0000075,u0248,p000007,u0106,2026-03-13 22:13:42,after_policy,1
l0000076,u0106,p000007,u0106,2026-03-13 20:39:42,after_policy,1
l0000077,u0124,p000008,u0194,2026-04-18 00:07:48,after_policy,0
l0000078,u0232,p000009,u0039,2026-01-28 03:13:07,before_policy,1
l0000079,u0001,p000009,u0039,2026-01-28 02:07:07,before_policy,1
l0000080,u0206,p000010,u0019,2026-04-18 22:26:42,after_policy,1
l0000081,u0280,p000010,u0019,2026-04-18 12:10:42,after_policy,1
l0000082,u0283,p000010,u0019,2026-04-18 17:43:42,after_policy,1
l0000083,u0313,p000010,u0019,2026-04-18 17:45:42,after_policy,0
l0000084,u0024,p000010,u0019,2026-04-18 16:31:42,after_policy,1
l0000085,u0133,p000011,u0293,2026-03-20 01:54:33,after_policy,1
l0000086,u0265,p000011,u0293,2026-03-19 23:03:33,after_policy,1
l0000087,u0139,p000012,u0263,2026-04-10 14:58:39,after_policy,1
l0000088,u0263,p000012,u0263,2026-04-10 18:23:39,after_policy,1
l0000089,u0069,p000012,u0263,2026-04-10 18:05:39,after_policy,1
l0000090,u0014,p000012,u0263,2026-04-10 10:55:39,after_policy,1
l0000091,u0068,p000012,u0263,2026-04-10 13:29:39,after_policy,1
l0000092,u0195,p000012,u0263,2026-04-10 21:20:39,after_policy,1
l0000093,u0184,p000012,u0263,2026-04-10 19:16:39,after_policy,1
l0000094,u0272,p000013,u0065,2026-03-19 16:57:20,after_policy,1
l0000095,u0211,p000013,u0065,2026-03-19 12:02:20,after_policy,1
l0000096,u0360,p000013,u0065,2026-03-19 15:41:20,after_policy,1
l0000097,u0129,p000013,u0065,2026-03-19 16:49:20,after_policy,0
l0000098,u0277,p000013,u0065,2026-03-19 21:17:20,after_policy,1
l0000099,u0006,p000013,u0065,2026-03-19 13:51:20,after_policy,1
l0000100,u0018,p000013,u0065,2026-03-19 20:47:20,after_policy,1
l0000101,u0239,p000013,u0065,2026-03-19 13:08:20,after_policy,1
l0000102,u0278,p000013,u0065,2026-03-19 17:33:20,after_policy,1
l0000103,u0107,p000013,u0065,2026-03-19 19:50:20,after_policy,1
l0000104,u0273,p000013,u0065,2026-03-19 18:08:20,after_policy,1
l0000105,u0316,p000013,u0065,2026-03-19 16:06:20,after_policy,1
l0000106,u0085,p000013,u0065,2026-03-19 18:19:20,after_policy,1
l0000107,u0213,p000013,u0065,2026-03-19 11:24:20,after_policy,0
l0000108,u0146,p000013,u0065,2026-03-19 16:42:20,after_policy,1
l0000109,u0101,p000013,u0065,2026-03-19 18:57:20,after_policy,1
l0000110,u0005,p000013,u0065,2026-03-19 19:01:20,after_policy,1
l0000111,u0309,p000013,u0065,2026-03-19 14:55:20,after_policy,1
l0000112,u0189,p000013,u0065,2026-03-19 18:36:20,after_policy,0
l0000113,u0169,p000013,u0065,2026-03-19 19:39:20,after_policy,0
l0000114,u0165,p000013,u0065,2026-03-19 16:32:20,after_policy,1
l0000115,u0158,p000013,u0065,2026-03-19 12:30:20,after_policy,1
l0000116,u0146,p000014,u0089,2026-01-17 04:23:59,before_policy,1
l0000117,u0277,p000014,u0089,2026-01-17 01:03:59,before_policy,1
l0000118,u0163,p000014,u0089,2026-01-17 04:13:59,before_policy,0
l0000119,u0244,p000015,u0259,2026-02-21 10:07:39,before_policy,1
l0000120,u0241,p000015,u0259,2026-02-21 06:00:39,before_policy,1
l0000121,u0327,p000015,u0259,2026-02-21 08:37:39,before_policy,1
l0000122,u0038,p000015,u0259,2026-02-21 01:17:39,before_policy,1
l0000123,u0255,p000015,u0259,2026-02-21 06:35:39,before_policy,0
l0000124,u0172,p000015,u0259,2026-02-21 10:40:39,before_policy,0
l0000125,u0054,p000015,u0259,2026-02-21 05:24:39,before_policy,1
l0000126,u0103,p000015,u0259,2026-02-21 00:15:39,before_policy,1
l0000127,u0289,p000015,u0259,2026-02-21 06:09:39,before_policy,1
l0000128,u0184,p000015,u0259,2026-02-21 10:59:39,before_policy,0
l0000129,u0214,p000015,u0259,2026-02-21 00:45:39,before_policy,0
l0000130,u0072,p000015,u0259,2026-02-21 07:35:39,before_policy,0
l0000131,u0052,p000015,u0259,2026-02-21 04:00:39,before_policy,1
l0000132,u0285,p000015,u0259,2026-02-21 05:35:39,before_policy,1
l0000133,u0111,p000016,u0191,2026-04-24 12:25:07,after_policy,0
l0000134,u0269,p000016,u0191,2026-04-24 12:43:07,after_policy,1
l0000135,u0169,p000016,u0191,2026-04-24 05:04:07,after_policy,1
l0000136,u0280,p000016,u0191,2026-04-24 03:39:07,after_policy,1
l0000137,u0320,p000016,u0191,2026-04-24 04:17:07,after_policy,1
l0000138,u0267,p000016,u0191,2026-04-24 03:52:07,after_policy,1
l0000139,u0095,p000016,u0191,2026-04-24 10:08:07,after_policy,1
l0000140,u0199,p000016,u0191,2026-04-24 10:39:07,after_policy,1
l0000141,u0129,p000016,u0191,2026-04-24 07:14:07,after_policy,1
l0000142,u0293,p000016,u0191,2026-04-24 10:47:07,after_policy,1
l0000143,u0264,p000016,u0191,2026-04-24 05:37:07,after_policy,1
l0000144,u0022,p000016,u0191,2026-04-24 08:48:07,after_policy,1
l0000145,u0032,p000016,u0191,2026-04-24 12:24:07,after_policy,1
l0000146,u0218,p000016,u0191,2026-04-24 06:52:07,after_policy,1
l0000147,u0352,p000016,u0191,2026-04-24 14:08:07,after_policy,1
l0000148,u0053,p000017,u0321,2026-02-20 10:34:25,before_policy,0
l0000149,u0332,p000017,u0321,2026-02-20 08:22:25,before_policy,0
l0000150,u0045,p000017,u0321,2026-02-20 00:42:25,before_policy,0
l0000151,u0180,p000017,u0321,2026-02-20 10:01:25,before_policy,1
l0000152,u0289,p000017,u0321,2026-02-20 10:28:25,before_policy,0
l0000153,u0250,p000017,u0321,2026-02-20 01:08:25,before_policy,1
l0000154,u0093,p000017,u0321,2026-02-20 10:15:25,before_policy,1
l0000155,u0206,p000017,u0321,2026-02-20 09:28:25,before_policy,1
l0000156,u0210,p000017,u0321,2026-02-20 09:08:25,before_policy,1
l0000157,u0161,p000017,u0321,2026-02-20 11:40:25,before_policy,1
l0000158,u0352,p000017,u0321,2026-02-20 08:58:25,before_policy,1
l0000159,u0281,p000018,u0272,2026-01-08 11:50:41,before_policy,0
l0000160,u0006,p000018,u0272,2026-01-08 13:48:41,before_policy,1
l0000161,u0101,p000018,u0272,2026-01-08 18:30:41,before_policy,1
l0000162,u0263,p000018,u0272,2026-01-08 20:01:41,before_policy,0
l0000163,u0346,p000019,u0329,2026-02-03 03:24:17,before_policy,1
l0000164,u0045,p000019,u0329,2026-02-03 02:57:17,before_policy,0
l0000165,u0223,p000019,u0329,2026-02-02 20:59:17,before_policy,1
l0000166,u0325,p000019,u0329,2026-02-02 22:24:17,before_policy,1
l0000167,u0333,p000019,u0329,2026-02-03 03:54:17,before_policy,1
l0000168,u0092,p000020,u0232,2026-02-23 09:44:19,before_policy,0
l0000169,u0239,p000020,u0232,2026-02-23 03:21:19,before_policy,1
l0000170,u0317,p000021,u0172,2026-04-15 15:34:18,after_policy,1
l0000171,u0288,p000021,u0172,2026-04-16 02:29:18,after_policy,1
l0000172,u0195,p000021,u0172,2026-04-16 02:24:18,after_policy,1
l0000173,u0102,p000021,u0172,2026-04-16 00:59:18,after_policy,1
l0000174,u0173,p000021,u0172,2026-04-16 01:58:18,after_policy,1
l0000175,u0274,p000021,u0172,2026-04-16 00:52:18,after_policy,1
l0000176,u0062,p000021,u0172,2026-04-15 20:25:18,after_policy,1
l0000177,u0279,p000021,u0172,2026-04-15 22:04:18,after_policy,0
l0000178,u0290,p000021,u0172,2026-04-15 23:20:18,after_policy,1
l0000179,u0172,p000021,u0172,2026-04-15 23:51:18,after_policy,1
l0000180,u0163,p000021,u0172,2026-04-15 16:38:18,after_policy,1
l0000181,u0254,p000022,u0322,2026-04-17 01:54:20,after_policy,1
l0000182,u0072,p000022,u0322,2026-04-16 20:21:20,after_policy,1
l0000183,u0178,p000022,u0322,2026-04-17 03:12:20,after_policy,1
l0000184,u0206,p000022,u0322,2026-04-17 00:50:20,after_policy,1
l0000185,u0222,p000022,u0322,2026-04-17 00:15:20,after_policy,1
l0000186,u0314,p000022,u0322,2026-04-17 03:07:20,after_policy,1
l0000187,u0095,p000022,u0322,2026-04-17 00:24:20,after_policy,1
l0000188,u0121,p000022,u0322,2026-04-16 17:59:20,after_policy,1
l0000189,u0165,p000022,u0322,2026-04-16 23:50:20,after_policy,0
l0000190,u0027,p000022,u0322,2026-04-16 23:55:20,after_policy,1
l0000191,u0093,p000022,u0322,2026-04-17 01:06:20,after_policy,1
l0000192,u0230,p000022,u0322,2026-04-16 20:24:20,after_policy,1
l0000193,u0237,p000022,u0322,2026-04-16 23:09:20,after_policy,1
l0000194,u0251,p000022,u0322,2026-04-16 18:52:20,after_policy,1
l0000195,u0264,p000022,u0322,2026-04-17 01:26:20,after_policy,1
l0000196,u0280,p000022,u0322,2026-04-16 23:07:20,after_policy,1
l0000197,u0176,p000023,u0021,2026-04-02 15:47:50,after_policy,1
l0000198,u0125,p000023,u0021,2026-04-02 16:06:50,after_policy,1
l0000199,u0305,p000023,u0021,2026-04-03 02:15:50,after_policy,1
l0000200,u0051,p000023,u0021,2026-04-02 20:16:50,after_policy,1
l0000201,u0161,p000024,u0120,2026-01-13 18:29:09,before_policy,0
l0000202,u0103,p000024,u0120,2026-01-13 15:02:09,before_policy,0
l0000203,u0085,p000024,u0120,2026-01-13 18:14:09,before_policy,1
l0000204,u0322,p000024,u0120,2026-01-13 13:40:09,before_policy,0
l0000205,u0082,p000024,u0120,2026-01-13 18:25:09,before_policy,0
l0000206,u0244,p000024,u0120,2026-01-13 09:34:09,before_policy,0
l0000207,u0354,p000024,u0120,2026-01-13 13:53:09,before_policy,1
l0000208,u0046,p000025,u0217,2026-02-15 14:09:41,before_policy,1
l0000209,u0344,p000025,u0217,2026-02-15 19:20:41,before_policy,0
l0000210,u0052,p000025,u0217,2026-02-15 12:53:41,before_policy,1
l0000211,u0337,p000025,u0217,2026-02-15 18:28:41,before_policy,0
l0000212,u0197,p000025,u0217,2026-02-15 19:51:41,before_policy,1
l0000213,u0147,p000025,u0217,2026-02-15 11:45:41,before_policy,0
l0000214,u0186,p000025,u0217,2026-02-15 15:54:41,before_policy,0
l0000215,u0224,p000026,u0179,2026-04-26 06:47:56,after_policy,1
l0000216,u0279,p000026,u0179,2026-04-26 13:45:56,after_policy,1
l0000217,u0138,p000027,u0005,2026-02-22 20:15:36,before_policy,1
l0000218,u0190,p000028,u0028,2026-03-20 22:32:14,after_policy,0
l0000219,u0230,p000028,u0028,2026-03-21 00:00:14,after_policy,1
l0000220,u0078,p000028,u0028,2026-03-20 18:10:14,after_policy,1
l0000221,u0225,p000028,u0028,2026-03-20 15:37:14,after_policy,1
l0000222,u0281,p000028,u0028,2026-03-21 01:17:14,after_policy,1
l0000223,u0198,p000028,u0028,2026-03-20 21:26:14,after_policy,1
l0000224,u0345,p000028,u0028,2026-03-20 19:44:14,after_policy,0
l0000225,u0188,p000028,u0028,2026-03-20 17:36:14,after_policy,1
l0000226,u0313,p000028,u0028,2026-03-21 00:18:14,after_policy,0
l0000227,u0199,p000028,u0028,2026-03-20 16:44:14,after_policy,1
l0000228,u0152,p000028,u0028,2026-03-20 20:36:14,after_policy,1
l0000229,u0004,p000028,u0028,2026-03-20 22:34:14,after_policy,0
l0000230,u0133,p000028,u0028,2026-03-20 21:58:14,after_policy,1
l0000231,u0169,p000028,u0028,2026-03-20 17:23:14,after_policy,1
l0000232,u0095,p000028,u0028,2026-03-20 14:14:14,after_policy,1
l0000233,u0184,p000028,u0028,2026-03-20 21:09:14,after_policy,0
l0000234,u0075,p000029,u0119,2026-04-11 13:50:23,after_policy,1
l0000235,u0185,p000029,u0119,2026-04-11 16:22:23,after_policy,1
l0000236,u0164,p000029,u0119,2026-04-11 16:05:23,after_policy,1
l0000237,u0231,p000029,u0119,2026-04-11 09:35:23,after_policy,1
l0000238,u0256,p000029,u0119,2026-04-11 14:44:23,after_policy,1
l0000239,u0220,p000030,u0334,2026-03-07 13:14:42,after_policy,1
l0000240,u0179,p000030,u0334,2026-03-07 12:16:42,after_policy,1
l0000241,u0058,p000031,u0022,2026-03-09 21:38:31,after_policy,1
l0000242,u0121,p000031,u0022,2026-03-10 01:22:31,after_policy,1
l0000243,u0072,p000031,u0022,2026-03-10 04:02:31,after_policy,1
l0000244,u0230,p000031,u0022,2026-03-09 22:16:31,after_policy,1
l0000245,u0023,p000031,u0022,2026-03-09 19:38:31,after_policy,1
l0000246,u0222,p000031,u0022,2026-03-09 20:27:31,after_policy,1
l0000247,u0049,p000031,u0022,2026-03-09 19:13:31,after_policy,0
l0000248,u0138,p000031,u0022,2026-03-09 22:10:31,after_policy,0
l0000249,u0070,p000031,u0022,2026-03-10 04:28:31,after_policy,1
l0000250,u0184,p000031,u0022,2026-03-10 05:26:31,after_policy,0
l0000251,u0116,p000031,u0022,2026-03-10 00:12:31,after_policy,1
l0000252,u0281,p000031,u0022,2026-03-10 01:43:31,after_policy,1
l0000253,u0187,p000031,u0022,2026-03-10 00:56:31,after_policy,1
l0000254,u0291,p000031,u0022,2026-03-09 23:36:31,after_policy,1
l0000255,u0078,p000031,u0022,2026-03-09 21:52:31,after_policy,1
l0000256,u0125,p000032,u0183,2026-01-16 03:04:30,before_policy,1
l0000257,u0346,p000032,u0183,2026-01-15 23:40:30,before_policy,1
l0000258,u0035,p000032,u0183,2026-01-16 02:44:30,before_policy,1
l0000259,u0071,p000032,u0183,2026-01-15 21:50:30,before_policy,1
l0000260,u0329,p000032,u0183,2026-01-16 03:44:30,before_policy,1
l0000261,u0155,p000033,u0157,2026-04-25 09:01:02,after_policy,1
l0000262,u0108,p000033,u0157,2026-04-25 12:30:02,after_policy,1
l0000263,u0157,p000033,u0157,2026-04-25 16:34:02,after_policy,1
l0000264,u0331,p000034,u0192,2026-04-27 01:53:12,after_policy,1
l0000265,u0134,p000034,u0192,2026-04-27 03:24:12,after_policy,1
l0000266,u0137,p000034,u0192,2026-04-27 01:59:12,after_policy,1
l0000267,u0310,p000034,u0192,2026-04-26 18:18:12,after_policy,1
l0000268,u0057,p000034,u0192,2026-04-26 21:21:12,after_policy,1
l0000269,u0220,p000034,u0192,2026-04-27 04:29:12,after_policy,1
l0000270,u0231,p000034,u0192,2026-04-26 19:23:12,after_policy,1
l0000271,u0204,p000034,u0192,2026-04-27 01:14:12,after_policy,1
l0000272,u0058,p000034,u0192,2026-04-26 21:55:12,after_policy,0
l0000273,u0176,p000034,u0192,2026-04-27 02:48:12,after_policy,1
l0000274,u0142,p000034,u0192,2026-04-27 00:37:12,after_policy,1
l0000275,u0175,p000034,u0192,2026-04-26 22:29:12,after_policy,1
l0000276,u0080,p000034,u0192,2026-04-27 04:30:12,after_policy,1
l0000277,u0183,p000034,u0192,2026-04-27 01:18:12,after_policy,1
l0000278,u0229,p000034,u0192,2026-04-27 01:23:12,after_policy,1
l0000279,u0043,p000034,u0192,2026-04-26 19:02:12,after_policy,1
l0000280,u0042,p000034,u0192,2026-04-26 19:03:12,after_policy,1
l0000281,u0015,p000034,u0192,2026-04-27 03:57:12,after_policy,1
l0000282,u0136,p000034,u0192,2026-04-27 03:10:12,after_policy,1
l0000283,u0041,p000034,u0192,2026-04-27 02:47:12,after_policy,1
l0000284,u0130,p000034,u0192,2026-04-26 18:05:12,after_policy,1
l0000285,u0071,p000034,u0192,2026-04-27 03:56:12,after_policy,1
l0000286,u0318,p000034,u0192,2026-04-26 22:20:12,after_policy,1
l0000287,u0321,p000034,u0192,2026-04-27 02:03:12,after_policy,0
l0000288,u0190,p000034,u0192,2026-04-26 20:43:12,after_policy,1
l0000289,u0151,p000034,u0192,2026-04-26 22:58:12,after_policy,1
l0000290,u0334,p000034,u0192,2026-04-27 03:55:12,after_policy,1
l0000291,u0231,p000035,u0329,2026-02-26 12:59:32,before_policy,1
l0000292,u0257,p000035,u0329,2026-02-26 15:59:32,before_policy,1
l0000293,u0088,p000035,u0329,2026-02-26 12:43:32,before_policy,0
l0000294,u0082,p000035,u0329,2026-02-26 14:19:32,before_policy,0
l0000295,u0136,p000035,u0329,2026-02-26 17:13:32,before_policy,1
l0000296,u0099,p000036,u0214,2026-04-28 16:26:13,after_policy,1
l0000297,u0214,p000036,u0214,2026-04-28 06:32:13,after_policy,1
l0000298,u0288,p000036,u0214,2026-04-28 07:59:13,after_policy,1
l0000299,u0026,p000036,u0214,2026-04-28 08:19:13,after_policy,1
l0000300,u0335,p000036,u0214,2026-04-28 06:34:13,after_policy,1
l0000301,u0245,p000036,u0214,2026-04-28 12:16:13,after_policy,1
l0000302,u0087,p000036,u0214,2026-04-28 11:35:13,after_policy,1
l0000303,u0010,p000036,u0214,2026-04-28 07:26:13,after_policy,1
l0000304,u0062,p000036,u0214,2026-04-28 05:23:13,after_policy,1
l0000305,u0103,p000036,u0214,2026-04-28 08:19:13,after_policy,0
l0000306,u0106,p000037,u0238,2026-03-11 10:13:02,after_policy,1
l0000307,u0177,p000037,u0238,2026-03-11 10:43:02,after_policy,1
l0000308,u0021,p000037,u0238,2026-03-11 10:39:02,after_policy,1
l0000309,u0229,p000037,u0238,2026-03-11 09:42:02,after_policy,1
l0000310,u0174,p000037,u0238,2026-03-11 10:43:02,after_policy,1
l0000311,u0134,p000037,u0238,2026-03-11 12:38:02,after_policy,1
l0000312,u0249,p000038,u0353,2026-03-01 06:54:07,policy_day,1
l0000313,u0322,p000038,u0353,2026-03-01 12:13:07,policy_day,1
l0000314,u0186,p000038,u0353,2026-03-01 11:40:07,policy_day,0
l0000315,u0093,p000038,u0353,2026-03-01 02:04:07,policy_day,1
l0000316,u0110,p000038,u0353,2026-03-01 07:11:07,policy_day,1
l0000317,u0235,p000038,u0353,2026-03-01 12:43:07,policy_day,1
l0000318,u0042,p000038,u0353,2026-03-01 02:05:07,policy_day,0
l0000319,u0124,p000038,u0353,2026-03-01 12:29:07,policy_day,1
l0000320,u0060,p000038,u0353,2026-03-01 06:20:07,policy_day,1
l0000321,u0306,p000038,u0353,2026-03-01 06:56:07,policy_day,0
l0000322,u0188,p000038,u0353,2026-03-01 07:16:07,policy_day,1
l0000323,u0342,p000038,u0353,2026-03-01 04:46:07,policy_day,1
l0000324,u0141,p000038,u0353,2026-03-01 09:23:07,policy_day,1
l0000325,u0048,p000038,u0353,2026-03-01 11:02:07,policy_day,1
l0000326,u0282,p000039,u0257,2026-03-26 05:35:23,after_policy,1
l0000327,u0041,p000039,u0257,2026-03-26 03:35:23,after_policy,1
l0000328,u0176,p000039,u0257,2026-03-25 22:22:23,after_policy,1
l0000329,u0215,p000039,u0257,2026-03-25 21:15:23,after_policy,1
l0000330,u0100,p000039,u0257,2026-03-26 08:35:23,after_policy,1
l0000331,u0009,p000039,u0257,2026-03-25 22:39:23,after_policy,1
l0000332,u0355,p000039,u0257,2026-03-26 04:40:23,after_policy,0
l0000333,u0059,p000039,u0257,2026-03-26 01:14:23,after_policy,0
l0000334,u0346,p000039,u0257,2026-03-26 02:06:23,after_policy,1
l0000335,u0224,p000039,u0257,2026-03-26 03:44:23,after_policy,1
l0000336,u0270,p000039,u0257,2026-03-25 23:16:23,after_policy,1
l0000337,u0077,p000039,u0257,2026-03-26 01:48:23,after_policy,1
l0000338,u0358,p000039,u0257,2026-03-25 23:16:23,after_policy,1
l0000339,u0345,p000039,u0257,2026-03-26 08:09:23,after_policy,1
l0000340,u0312,p000040,u0191,2026-01-01 15:15:26,before_policy,0
l0000341,u0162,p000040,u0191,2026-01-01 07:59:26,before_policy,0
l0000342,u0309,p000040,u0191,2026-01-01 06:21:26,before_policy,0
l0000343,u0143,p000041,u0050,2026-01-11 05:39:02,before_policy,1
l0000344,u0268,p000041,u0050,2026-01-10 20:25:02,before_policy,1
l0000345,u0039,p000041,u0050,2026-01-10 20:35:02,before_policy,1
l0000346,u0219,p000041,u0050,2026-01-11 04:51:02,before_policy,0
l0000347,u0029,p000042,u0314,2026-02-12 07:43:22,before_policy,1
l0000348,u0100,p000042,u0314,2026-02-12 06:00:22,before_policy,0
l0000349,u0228,p000042,u0314,2026-02-12 11:57:22,before_policy,0
l0000350,u0205,p000042,u0314,2026-02-12 08:16:22,before_policy,1
l0000351,u0310,p000042,u0314,2026-02-12 05:22:22,before_policy,0
l0000352,u0144,p000042,u0314,2026-02-12 07:24:22,before_policy,0
l0000353,u0081,p000042,u0314,2026-02-12 12:12:22,before_policy,1
l0000354,u0147,p000042,u0314,2026-02-12 09:09:22,before_policy,0
l0000355,u0051,p000042,u0314,2026-02-12 09:12:22,before_policy,0
l0000356,u0356,p000042,u0314,2026-02-12 06:07:22,before_policy,1
l0000357,u0008,p000042,u0314,2026-02-12 05:52:22,before_policy,1
l0000358,u0321,p000042,u0314,2026-02-12 09:22:22,before_policy,1
l0000359,u0169,p000042,u0314,2026-02-12 12:49:22,before_policy,1
l0000360,u0165,p000042,u0314,2026-02-12 08:01:22,before_policy,0
l0000361,u0110,p000042,u0314,2026-02-12 06:50:22,before_policy,1
l0000362,u0027,p000042,u0314,2026-02-12 04:28:22,before_policy,1
l0000363,u0116,p000042,u0314,2026-02-12 11:24:22,before_policy,1
l0000364,u0060,p000042,u0314,2026-02-12 14:24:22,before_policy,1
l0000365,u0084,p000042,u0314,2026-02-12 14:05:22,before_policy,0
l0000366,u0326,p000042,u0314,2026-02-12 14:36:22,before_policy,0
l0000367,u0320,p000042,u0314,2026-02-12 14:05:22,before_policy,1
l0000368,u0280,p000042,u0314,2026-02-12 10:36:22,before_policy,1
l0000369,u0222,p000042,u0314,2026-02-12 11:49:22,before_policy,1
l0000370,u0184,p000043,u0088,2026-04-28 13:08:34,after_policy,1
l0000371,u0274,p000043,u0088,2026-04-28 22:05:34,after_policy,1
l0000372,u0172,p000043,u0088,2026-04-28 19:45:34,after_policy,1
l0000373,u0181,p000043,u0088,2026-04-28 11:50:34,after_policy,0
l0000374,u0062,p000043,u0088,2026-04-28 13:26:34,after_policy,1
l0000375,u0284,p000043,u0088,2026-04-28 15:16:34,after_policy,0
l0000376,u0084,p000043,u0088,2026-04-28 21:17:34,after_policy,1
