date,period,post_count,comment_count,like_count,comment_like_count,pro_posts,anti_posts,skeptical_posts,neutral_posts,mixed_posts,pro_anti_post_gap
2026-04-09,after_policy,21,70,263,276,4,8,2,2,5,0.1905
2026-04-10,after_policy,17,58,173,233,4,7,3,0,3,0.1765
2026-04-11,after_policy,24,71,221,229,4,6,6,6,2,0.0833
2026-04-12,after_policy,15,74,162,304,4,6,3,1,1,0.1333
2026-04-13,after_policy,23,60,283,218,5,6,8,1,3,0.0435
2026-04-14,after_policy,22,79,298,307,4,7,6,1,4,0.1364
2026-04-15,after_policy,21,76,354,321,4,7,3,2,5,0.1429
2026-04-16,after_policy,17,56,165,237,7,5,4,1,0,0.1176
2026-04-17,after_policy,29,90,307,344,7,11,4,5,2,0.1379
2026-04-18,after_policy,31,104,476,374,9,13,4,0,5,0.129
2026-04-19,after_policy,25,71,386,347,8,5,6,1,5,0.12
2026-04-20,after_policy,20,80,309,291,3,9,5,0,3,0.3
2026-04-21,after_policy,14,54,217,225,4,7,1,1,1,0.2143
2026-04-22,after_policy,22,61,279,189,9,6,4,1,2,0.1364
2026-04-23,after_policy,22,82,299,338,4,12,4,1,1,0.3636
2026-04-24,after_policy,15,52,173,231,3,4,4,2,2,0.0667
2026-04-25,after_policy,17,73,190,286,3,7,4,2,1,0.2353
2026-04-26,after_policy,23,60,166,206,5,9,1,3,5,0.1739
2026-04-27,after_policy,13,83,258,318,4,4,2,2,1,0.0
2026-04-28,after_policy,23,54,301,220,6,7,3,3,4,0.0435
2026-04-29,after_policy,22,67,347,268,6,7,3,2,4,0.0455
2026-04-30,after_policy,15,74,181,305,3,5,3,1,3,0.1333
