comment_like_id,user_id,comment_id,comment_author_id,post_id,created_at,period,same_cluster_as_comment_author
cl0000094,u0234,c0000028,u0001,p000009,2026-01-28 16:38:07,before_policy,1
cl0000095,u0092,c0000028,u0001,p000009,2026-01-28 16:36:07,before_policy,0
cl0000096,u0342,c0000029,u0236,p000009,2026-01-28 12:10:07,before_policy,1
cl0000097,u0024,c0000029,u0236,p000009,2026-01-28 18:20:07,before_policy,1
cl0000098,u0071,c0000030,u0353,p000010,2026-04-19 11:43:42,after_policy,0
cl0000099,u0291,c0000030,u0353,p000010,2026-04-19 12:20:42,after_policy,1
cl0000100,u0198,c0000030,u0353,p000010,2026-04-19 10:02:42,after_policy,1
cl0000101,u0230,c0000030,u0353,p000010,2026-04-19 10:00:42,after_policy,1
cl0000102,u0166,c0000030,u0353,p000010,2026-04-19 10:30:42,after_policy,1
cl0000103,u0252,c0000031,u0166,p000011,2026-03-20 05:24:33,after_policy,1
cl0000104,u0235,c0000031,u0166,p000011,2026-03-20 12:05:33,after_policy,1
cl0000105,u0357,c0000031,u0166,p000011,2026-03-20 02:05:33,after_policy,0
cl0000106,u0180,c0000031,u0166,p000011,2026-03-20 08:35:33,after_policy,1
cl0000107,u0249,c0000031,u0166,p000011,2026-03-20 02:55:33,after_policy,1
cl0000108,u0120,c0000032,u0060,p000011,2026-03-20 07:34:33,after_policy,0
cl0000109,u0353,c0000032,u0060,p000011,2026-03-20 02:10:33,after_policy,1
cl0000110,u0130,c0000032,u0060,p000011,2026-03-20 02:39:33,after_policy,0
cl0000111,u0118,c0000033,u0059,p000011,2026-03-20 04:43:33,after_policy,0
cl0000112,u0321,c0000033,u0059,p000011,2026-03-20 07:01:33,after_policy,1
cl0000113,u0353,c0000033,u0059,p000011,2026-03-20 12:57:33,after_policy,1
cl0000114,u0093,c0000034,u0032,p000011,2026-03-20 09:00:33,after_policy,1
cl0000115,u0018,c0000034,u0032,p000011,2026-03-20 09:12:33,after_policy,0
cl0000116,u0056,c0000034,u0032,p000011,2026-03-20 07:36:33,after_policy,1
cl0000117,u0236,c0000034,u0032,p000011,2026-03-20 01:33:33,after_policy,1
cl0000118,u0088,c0000034,u0032,p000011,2026-03-20 07:49:33,after_policy,0
cl0000119,u0169,c0000035,u0019,p000011,2026-03-20 05:59:33,after_policy,1
cl0000120,u0052,c0000035,u0019,p000011,2026-03-20 06:57:33,after_policy,0
cl0000121,u0281,c0000035,u0019,p000011,2026-03-20 02:04:33,after_policy,1
cl0000122,u0008,c0000035,u0019,p000011,2026-03-20 01:06:33,after_policy,1
cl0000123,u0304,c0000035,u0019,p000011,2026-03-20 00:25:33,after_policy,0
cl0000124,u0078,c0000035,u0019,p000011,2026-03-20 00:06:33,after_policy,1
cl0000125,u0173,c0000036,u0014,p000012,2026-04-11 07:59:39,after_policy,1
cl0000126,u0026,c0000037,u0260,p000012,2026-04-11 04:05:39,after_policy,1
cl0000127,u0121,c0000037,u0260,p000012,2026-04-11 12:19:39,after_policy,0
cl0000128,u0229,c0000037,u0260,p000012,2026-04-11 12:19:39,after_policy,0
cl0000129,u0010,c0000037,u0260,p000012,2026-04-11 09:32:39,after_policy,1
cl0000130,u0314,c0000037,u0260,p000012,2026-04-11 09:02:39,after_policy,0
cl0000131,u0189,c0000038,u0172,p000012,2026-04-10 22:58:39,after_policy,1
cl0000132,u0047,c0000039,u0336,p000013,2026-03-20 04:52:20,after_policy,1
cl0000133,u0064,c0000039,u0336,p000013,2026-03-20 05:49:20,after_policy,1
cl0000134,u0001,c0000039,u0336,p000013,2026-03-20 05:47:20,after_policy,1
cl0000135,u0262,c0000039,u0336,p000013,2026-03-20 02:12:20,after_policy,1
cl0000136,u0074,c0000040,u0098,p000013,2026-03-20 14:17:20,after_policy,0
cl0000137,u0120,c0000040,u0098,p000013,2026-03-20 09:59:20,after_policy,1
cl0000138,u0302,c0000040,u0098,p000013,2026-03-20 08:39:20,after_policy,1
cl0000139,u0275,c0000040,u0098,p000013,2026-03-20 09:45:20,after_policy,1
cl0000140,u0165,c0000040,u0098,p000013,2026-03-20 15:04:20,after_policy,1
cl0000141,u0289,c0000042,u0092,p000015,2026-02-22 05:21:39,before_policy,1
cl0000142,u0094,c0000042,u0092,p000015,2026-02-22 07:24:39,before_policy,1
cl0000143,u0102,c0000042,u0092,p000015,2026-02-22 00:23:39,before_policy,0
cl0000144,u0259,c0000042,u0092,p000015,2026-02-22 05:22:39,before_policy,1
cl0000145,u0335,c0000043,u0123,p000015,2026-02-21 11:26:39,before_policy,0
cl0000146,u0310,c0000043,u0123,p000015,2026-02-21 17:25:39,before_policy,1
cl0000147,u0011,c0000043,u0123,p000015,2026-02-21 12:01:39,before_policy,1
cl0000148,u0269,c0000045,u0264,p000016,2026-04-24 07:39:07,after_policy,1
cl0000149,u0166,c0000045,u0264,p000016,2026-04-24 17:18:07,after_policy,1
cl0000150,u0114,c0000045,u0264,p000016,2026-04-24 14:01:07,after_policy,1
cl0000151,u0116,c0000045,u0264,p000016,2026-04-24 10:45:07,after_policy,1
cl0000152,u0072,c0000045,u0264,p000016,2026-04-24 08:00:07,after_policy,1
cl0000153,u0180,c0000045,u0264,p000016,2026-04-24 11:40:07,after_policy,1
cl0000154,u0122,c0000045,u0264,p000016,2026-04-24 16:22:07,after_policy,1
cl0000155,u0078,c0000046,u0261,p000016,2026-04-25 06:44:07,after_policy,1
cl0000156,u0152,c0000046,u0261,p000016,2026-04-25 04:43:07,after_policy,1
cl0000157,u0235,c0000046,u0261,p000016,2026-04-25 05:29:07,after_policy,1
cl0000158,u0025,c0000046,u0261,p000016,2026-04-25 03:45:07,after_policy,1
cl0000159,u0191,c0000047,u0291,p000016,2026-04-24 23:31:07,after_policy,1
cl0000160,u0344,c0000047,u0291,p000016,2026-04-24 17:54:07,after_policy,1
cl0000161,u0022,c0000047,u0291,p000016,2026-04-25 00:16:07,after_policy,1
cl0000162,u0287,c0000047,u0291,p000016,2026-04-24 16:59:07,after_policy,0
cl0000163,u0068,c0000049,u0067,p000019,2026-02-03 11:43:17,before_policy,1
cl0000164,u0098,c0000049,u0067,p000019,2026-02-03 07:31:17,before_policy,0
cl0000165,u0050,c0000049,u0067,p000019,2026-02-03 14:09:17,before_policy,0
cl0000166,u0246,c0000050,u0042,p000019,2026-02-03 08:39:17,before_policy,1
cl0000167,u0306,c0000050,u0042,p000019,2026-02-03 18:30:17,before_policy,1
cl0000168,u0075,c0000050,u0042,p000019,2026-02-03 18:41:17,before_policy,1
cl0000169,u0124,c0000050,u0042,p000019,2026-02-03 07:12:17,before_policy,0
cl0000170,u0246,c0000051,u0215,p000019,2026-02-03 08:39:17,before_policy,1
cl0000171,u0076,c0000051,u0215,p000019,2026-02-03 10:03:17,before_policy,1
cl0000172,u0066,c0000051,u0215,p000019,2026-02-03 13:08:17,before_policy,0
cl0000173,u0136,c0000051,u0215,p000019,2026-02-03 14:34:17,before_policy,1
cl0000174,u0119,c0000051,u0215,p000019,2026-02-03 08:43:17,before_policy,1
cl0000175,u0172,c0000052,u0049,p000020,2026-02-23 19:55:19,before_policy,0
cl0000176,u0285,c0000052,u0049,p000020,2026-02-23 17:57:19,before_policy,1
cl0000177,u0332,c0000054,u0173,p000021,2026-04-15 21:05:18,after_policy,1
cl0000178,u0214,c0000054,u0173,p000021,2026-04-16 00:59:18,after_policy,1
cl0000179,u0209,c0000054,u0173,p000021,2026-04-15 23:12:18,after_policy,1
cl0000180,u0290,c0000054,u0173,p000021,2026-04-16 04:32:18,after_policy,1
cl0000181,u0349,c0000054,u0173,p000021,2026-04-15 22:10:18,after_policy,1
cl0000182,u0317,c0000054,u0173,p000021,2026-04-16 04:15:18,after_policy,1
cl0000183,u0210,c0000055,u0206,p000021,2026-04-15 19:10:18,after_policy,1
cl0000184,u0032,c0000056,u0058,p000022,2026-04-17 16:22:20,after_policy,1
cl0000185,u0012,c0000057,u0089,p000022,2026-04-17 00:52:20,after_policy,1
cl0000186,u0072,c0000057,u0089,p000022,2026-04-17 04:34:20,after_policy,0
cl0000187,u0165,c0000057,u0089,p000022,2026-04-16 20:34:20,after_policy,1
cl0000188,u0051,c0000058,u0216,p000022,2026-04-17 17:52:20,after_policy,1
cl0000189,u0358,c0000058,u0216,p000022,2026-04-17 08:22:20,after_policy,1
cl0000190,u0318,c0000058,u0216,p000022,2026-04-17 16:45:20,after_policy,1
cl0000191,u0202,c0000058,u0216,p000022,2026-04-17 14:43:20,after_policy,0
cl0000192,u0240,c0000058,u0216,p000022,2026-04-17 15:34:20,after_policy,0
cl0000193,u0174,c0000060,u0334,p000023,2026-04-02 16:15:50,after_policy,1
cl0000194,u0291,c0000060,u0334,p000023,2026-04-02 20:56:50,after_policy,0
cl0000195,u0196,c0000061,u0219,p000023,2026-04-03 13:44:50,after_policy,1
cl0000196,u0051,c0000061,u0219,p000023,2026-04-03 17:18:50,after_policy,1
cl0000197,u0242,c0000061,u0219,p000023,2026-04-03 12:55:50,after_policy,1
cl0000198,u0134,c0000061,u0219,p000023,2026-04-03 09:49:50,after_policy,1
cl0000199,u0318,c0000062,u0300,p000023,2026-04-03 09:09:50,after_policy,1
cl0000200,u0321,c0000062,u0300,p000023,2026-04-03 09:35:50,after_policy,0
cl0000201,u0121,c0000063,u0072,p000023,2026-04-03 04:19:50,after_policy,1
cl0000202,u0150,c0000063,u0072,p000023,2026-04-03 06:46:50,after_policy,1
cl0000203,u0200,c0000063,u0072,p000023,2026-04-03 05:11:50,after_policy,0
cl0000204,u0351,c0000064,u0151,p000025,2026-02-16 02:06:41,before_policy,1
cl0000205,u0229,c0000064,u0151,p000025,2026-02-16 02:21:41,before_policy,1
cl0000206,u0300,c0000064,u0151,p000025,2026-02-15 20:58:41,before_policy,1
cl0000207,u0003,c0000065,u0261,p000025,2026-02-16 05:07:41,before_policy,0
cl0000208,u0142,c0000065,u0261,p000025,2026-02-16 06:10:41,before_policy,0
cl0000209,u0086,c0000066,u0170,p000025,2026-02-16 14:36:41,before_policy,1
cl0000210,u0295,c0000066,u0170,p000025,2026-02-16 10:32:41,before_policy,1
cl0000211,u0046,c0000066,u0170,p000025,2026-02-16 12:09:41,before_policy,1
cl0000212,u0328,c0000066,u0170,p000025,2026-02-16 10:27:41,before_policy,1
cl0000213,u0058,c0000069,u0293,p000028,2026-03-21 09:04:14,after_policy,1
cl0000214,u0235,c0000069,u0293,p000028,2026-03-21 10:12:14,after_policy,1
cl0000215,u0307,c0000069,u0293,p000028,2026-03-21 11:40:14,after_policy,1
cl0000216,u0199,c0000069,u0293,p000028,2026-03-21 10:27:14,after_policy,1
cl0000217,u0096,c0000070,u0060,p000028,2026-03-21 23:43:14,after_policy,1
cl0000218,u0029,c0000070,u0060,p000028,2026-03-21 23:18:14,after_policy,1
cl0000219,u0257,c0000070,u0060,p000028,2026-03-21 15:24:14,after_policy,0
cl0000220,u0121,c0000070,u0060,p000028,2026-03-21 14:21:14,after_policy,1
cl0000221,u0112,c0000070,u0060,p000028,2026-03-21 13:38:14,after_policy,1
cl0000222,u0010,c0000071,u0069,p000028,2026-03-21 10:12:14,after_policy,1
cl0000223,u0097,c0000071,u0069,p000028,2026-03-21 11:40:14,after_policy,1
cl0000224,u0128,c0000071,u0069,p000028,2026-03-21 02:36:14,after_policy,1
cl0000225,u0087,c0000071,u0069,p000028,2026-03-21 10:05:14,after_policy,1
cl0000226,u0189,c0000071,u0069,p000028,2026-03-21 02:31:14,after_policy,1
cl0000227,u0132,c0000071,u0069,p000028,2026-03-21 02:53:14,after_policy,1
cl0000228,u0014,c0000071,u0069,p000028,2026-03-21 08:11:14,after_policy,1
cl0000229,u0093,c0000072,u0060,p000028,2026-03-21 16:56:14,after_policy,1
cl0000230,u0236,c0000072,u0060,p000028,2026-03-21 13:12:14,after_policy,1
cl0000231,u0205,c0000072,u0060,p000028,2026-03-21 13:28:14,after_policy,1
cl0000232,u0162,c0000072,u0060,p000028,2026-03-21 16:06:14,after_policy,0
cl0000233,u0252,c0000073,u0171,p000028,2026-03-21 01:09:14,after_policy,1
cl0000234,u0008,c0000073,u0171,p000028,2026-03-21 04:32:14,after_policy,1
cl0000235,u0031,c0000073,u0171,p000028,2026-03-20 21:24:14,after_policy,0
cl0000236,u0060,c0000073,u0171,p000028,2026-03-20 20:02:14,after_policy,1
cl0000237,u0096,c0000073,u0171,p000028,2026-03-20 23:09:14,after_policy,1
cl0000238,u0081,c0000074,u0322,p000028,2026-03-21 11:37:14,after_policy,1
cl0000239,u0149,c0000074,u0322,p000028,2026-03-21 13:26:14,after_policy,1
cl0000240,u0136,c0000074,u0322,p000028,2026-03-21 11:52:14,after_policy,0
cl0000241,u0264,c0000074,u0322,p000028,2026-03-21 12:40:14,after_policy,1
cl0000242,u0328,c0000074,u0322,p000028,2026-03-21 08:34:14,after_policy,0
cl0000243,u0258,c0000074,u0322,p000028,2026-03-21 08:58:14,after_policy,1
cl0000244,u0345,c0000075,u0136,p000029,2026-04-12 00:14:23,after_policy,1
cl0000245,u0342,c0000075,u0136,p000029,2026-04-12 01:22:23,after_policy,0
cl0000246,u0306,c0000075,u0136,p000029,2026-04-11 18:14:23,after_policy,1
cl0000247,u0173,c0000075,u0136,p000029,2026-04-11 19:38:23,after_policy,0
cl0000248,u0236,c0000075,u0136,p000029,2026-04-11 18:56:23,after_policy,0
cl0000249,u0046,c0000075,u0136,p000029,2026-04-12 04:44:23,after_policy,0
cl0000250,u0113,c0000076,u0190,p000029,2026-04-11 15:28:23,after_policy,1
cl0000251,u0270,c0000078,u0257,p000029,2026-04-11 22:07:23,after_policy,1
cl0000252,u0179,c0000078,u0257,p000029,2026-04-11 22:34:23,after_policy,1
cl0000253,u0125,c0000078,u0257,p000029,2026-04-12 03:56:23,after_policy,1
cl0000254,u0117,c0000078,u0257,p000029,2026-04-12 07:24:23,after_policy,1
cl0000255,u0318,c0000079,u0106,p000030,2026-03-08 02:36:42,after_policy,1
cl0000256,u0178,c0000079,u0106,p000030,2026-03-08 03:44:42,after_policy,0
cl0000257,u0059,c0000079,u0106,p000030,2026-03-08 02:33:42,after_policy,0
cl0000258,u0346,c0000079,u0106,p000030,2026-03-08 13:12:42,after_policy,1
cl0000259,u0250,c0000080,u0270,p000030,2026-03-07 17:04:42,after_policy,0
cl0000260,u0283,c0000080,u0270,p000030,2026-03-07 18:54:42,after_policy,0
cl0000261,u0190,c0000080,u0270,p000030,2026-03-07 21:22:42,after_policy,1
cl0000262,u0030,c0000081,u0321,p000030,2026-03-08 05:02:42,after_policy,1
cl0000263,u0022,c0000081,u0321,p000030,2026-03-08 05:17:42,after_policy,1
cl0000264,u0211,c0000081,u0321,p000030,2026-03-08 03:38:42,after_policy,0
cl0000265,u0025,c0000081,u0321,p000030,2026-03-08 08:19:42,after_policy,1
cl0000266,u0122,c0000081,u0321,p000030,2026-03-08 06:01:42,after_policy,1
cl0000267,u0177,c0000082,u0175,p000030,2026-03-07 18:43:42,after_policy,1
cl0000268,u0173,c0000082,u0175,p000030,2026-03-08 01:04:42,after_policy,0
cl0000269,u0154,c0000082,u0175,p000030,2026-03-07 20:13:42,after_policy,1
cl0000270,u0203,c0000083,u0270,p000030,2026-03-08 04:26:42,after_policy,1
cl0000271,u0208,c0000083,u0270,p000030,2026-03-08 02:11:42,after_policy,1
cl0000272,u0009,c0000084,u0142,p000030,2026-03-07 16:21:42,after_policy,1
cl0000273,u0300,c0000084,u0142,p000030,2026-03-08 02:13:42,after_policy,1
cl0000274,u0287,c0000084,u0142,p000030,2026-03-07 15:39:42,after_policy,0
cl0000275,u0358,c0000084,u0142,p000030,2026-03-07 15:55:42,after_policy,1
cl0000276,u0025,c0000085,u0141,p000031,2026-03-10 15:09:31,after_policy,1
cl0000277,u0125,c0000085,u0141,p000031,2026-03-10 15:39:31,after_policy,0
cl0000278,u0032,c0000085,u0141,p000031,2026-03-11 01:47:31,after_policy,1
cl0000279,u0056,c0000086,u0135,p000031,2026-03-10 13:47:31,after_policy,1
cl0000280,u0091,c0000086,u0135,p000031,2026-03-10 11:14:31,after_policy,1
cl0000281,u0285,c0000086,u0135,p000031,2026-03-10 16:20:31,after_policy,0
cl0000282,u0149,c0000086,u0135,p000031,2026-03-10 15:43:31,after_policy,1
cl0000283,u0321,c0000086,u0135,p000031,2026-03-10 09:46:31,after_policy,1
cl0000284,u0129,c0000086,u0135,p000031,2026-03-10 14:48:31,after_policy,1
cl0000285,u0357,c0000087,u0135,p000031,2026-03-10 05:57:31,after_policy,0
cl0000286,u0023,c0000088,u0091,p000031,2026-03-10 05:42:31,after_policy,1
cl0000287,u0261,c0000088,u0091,p000031,2026-03-10 12:08:31,after_policy,1
cl0000288,u0200,c0000088,u0091,p000031,2026-03-10 11:48:31,after_policy,0
cl0000289,u0208,c0000088,u0091,p000031,2026-03-10 11:51:31,after_policy,0
cl0000290,u0141,c0000089,u0110,p000031,2026-03-09 20:37:31,after_policy,1
cl0000291,u0121,c0000089,u0110,p000031,2026-03-09 20:08:31,after_policy,1
cl0000292,u0005,c0000090,u0167,p000032,2026-01-17 03:24:30,before_policy,1
cl0000293,u0241,c0000090,u0167,p000032,2026-01-17 02:09:30,before_policy,0
cl0000294,u0290,c0000090,u0167,p000032,2026-01-16 18:15:30,before_policy,0
cl0000295,u0301,c0000092,u0158,p000033,2026-04-25 20:13:02,after_policy,1
cl0000296,u0357,c0000092,u0158,p000033,2026-04-25 19:23:02,after_policy,1
cl0000297,u0088,c0000093,u0063,p000033,2026-04-25 19:11:02,after_policy,1
cl0000298,u0194,c0000093,u0063,p000033,2026-04-25 11:54:02,after_policy,0
cl0000299,u0204,c0000093,u0063,p000033,2026-04-25 23:02:02,after_policy,0
cl0000300,u0170,c0000093,u0063,p000033,2026-04-25 13:01:02,after_policy,0
cl0000301,u0066,c0000093,u0063,p000033,2026-04-25 21:45:02,after_policy,1
cl0000302,u0127,c0000093,u0063,p000033,2026-04-25 18:49:02,after_policy,1
cl0000303,u0349,c0000093,u0063,p000033,2026-04-25 12:14:02,after_policy,1
cl0000304,u0128,c0000093,u0063,p000033,2026-04-25 14:22:02,after_policy,1
cl0000305,u0005,c0000094,u0221,p000033,2026-04-26 12:51:02,after_policy,1
cl0000306,u0036,c0000094,u0221,p000033,2026-04-26 06:11:02,after_policy,1
cl0000307,u0047,c0000094,u0221,p000033,2026-04-26 12:20:02,after_policy,1
cl0000308,u0324,c0000094,u0221,p000033,2026-04-26 06:29:02,after_policy,1
cl0000309,u0360,c0000094,u0221,p000033,2026-04-26 11:19:02,after_policy,1
cl0000310,u0234,c0000094,u0221,p000033,2026-04-26 04:41:02,after_policy,1
cl0000311,u0101,c0000094,u0221,p000033,2026-04-26 07:40:02,after_policy,1
cl0000312,u0160,c0000094,u0221,p000033,2026-04-26 15:08:02,after_policy,1
cl0000313,u0057,c0000096,u0333,p000034,2026-04-27 06:15:12,after_policy,1
cl0000314,u0246,c0000096,u0333,p000034,2026-04-27 10:51:12,after_policy,1
cl0000315,u0305,c0000096,u0333,p000034,2026-04-27 08:51:12,after_policy,1
cl0000316,u0326,c0000096,u0333,p000034,2026-04-27 12:56:12,after_policy,1
cl0000317,u0137,c0000097,u0190,p000034,2026-04-27 19:25:12,after_policy,1
cl0000318,u0106,c0000097,u0190,p000034,2026-04-27 23:10:12,after_policy,1
cl0000319,u0223,c0000097,u0190,p000034,2026-04-27 23:00:12,after_policy,1
cl0000320,u0051,c0000098,u0151,p000034,2026-04-27 10:43:12,after_policy,1
cl0000321,u0035,c0000098,u0151,p000034,2026-04-27 06:10:12,after_policy,1
cl0000322,u0215,c0000098,u0151,p000034,2026-04-27 11:42:12,after_policy,1
cl0000323,u0079,c0000100,u0317,p000036,2026-04-28 18:17:13,after_policy,1
